Participant,Condition,LDA_F0.5_Score,SVM_F0.5_Score,LDA_Accuracy,SVM_Accuracy
P001,Joystick,0.5761580443465111,0.7419254205661974,0.4444444444444444,0.7222222222222222
P002,Joystick,0.585794325316687,0.8440275451378701,0.30303030303030304,0.6666666666666666
P003,Joystick,0.5875546454189329,0.821432600169608,0.2972972972972973,0.7027027027027027
P005,Joystick,0.4129302218955426,0.6854338218284977,0.2647058823529412,0.5588235294117647
P006,Joystick,0.762386060962345,0.8289839281665019,0.5555555555555556,0.7777777777777778
P008,Joystick,0.5553528328808314,0.8683111351526687,0.3157894736842105,0.7368421052631579
P009,Joystick,0.44399125481420765,0.6850752515429739,0.38235294117647056,0.7058823529411765
P010,Joystick,0.7143652818810324,0.839594690900654,0.5,0.6842105263157895
P011,Joystick,0.6797385812876143,0.8300811419079338,0.4594594594594595,0.7297297297297297
P012,Joystick,0.39381737915191384,0.8078740609814512,0.3125,0.875
P014,Joystick,0.6359822776550756,0.8316933683167516,0.5526315789473685,0.7368421052631579
P001,Leaning,0.6493892798370003,0.8125502882239937,0.34615384615384615,0.7692307692307693
P002,Leaning,0.577294113485893,0.8338358627996438,0.25,0.84375
P003,Leaning,0.47609619956527993,0.8010533591329361,0.2777777777777778,0.75
P005,Leaning,0.5257762964052122,0.7497570558524129,0.21052631578947367,0.6842105263157895
P006,Leaning,0.49985854536097146,0.7809454033924291,0.25806451612903225,0.5806451612903226
P008,Leaning,0.616318477068319,0.8050215459949104,0.5,0.7105263157894737
P009,Leaning,0.5639690601788446,0.7381428046829547,0.2857142857142857,0.7142857142857143
P010,Leaning,0.7151352591219508,0.8068624163344097,0.48484848484848486,0.7272727272727273
P011,Leaning,0.6157298596479595,0.8357299056147814,0.4166666666666667,0.8611111111111112
P012,Leaning,0.5320862289917063,0.8435423913276349,0.21621621621621623,0.7567567567567568
P014,Leaning,0.6274300492735005,0.8137758634032946,0.5135135135135135,0.6756756756756757
P001,Omnideck,0.5451541326339889,0.7470865177468434,0.2972972972972973,0.7027027027027027
P002,Omnideck,0.5687151702786377,0.7799242424242424,0.52,0.68
P005,Omnideck,0.5420639369858398,0.5430320174407295,0.2631578947368421,0.5
P006,Omnideck,0.6771860103451238,0.834967871478414,0.5,0.7368421052631579
P008,Omnideck,0.7597854872881357,0.880690564823108,0.4857142857142857,0.6857142857142857
P009,Omnideck,0.6748086424168181,0.848575389681517,0.5769230769230769,0.8076923076923077
P010,Omnideck,0.5079393789560163,0.7448769912226857,0.3684210526315789,0.8157894736842105
P011,Omnideck,0.7014851114710432,0.7804503571446639,0.46875,0.6875
P012,Omnideck,0.4714807858747349,0.6935497350025249,0.3235294117647059,0.7647058823529411
P014,Omnideck,0.592875349372133,0.7728852139279904,0.34285714285714286,0.6285714285714286
P001,Walking,0.48022646414135306,0.7723618859116735,0.23684210526315788,0.5789473684210527
P002,Walking,0.2894868410197179,0.6936036003470214,0.17142857142857143,0.5714285714285714
P003,Walking,0.7312190255860598,0.8431236097867292,0.42105263157894735,0.6842105263157895
P005,Walking,0.37617700984078095,0.6413420224980031,0.17647058823529413,0.5294117647058824
P006,Walking,0.7472380032743919,0.8034603467125236,0.34285714285714286,0.6857142857142857
P008,Walking,0.5265194270793808,0.8395998582118775,0.36363636363636365,0.8636363636363636
P009,Walking,0.5799469965522643,0.7376774473520449,0.42105263157894735,0.7105263157894737
P010,Walking,0.7040911756898878,0.8099493839324643,0.5263157894736842,0.7631578947368421
P011,Walking,0.7425781668777074,0.8890911863967483,0.4,0.6857142857142857
P012,Walking,0.6192115586826425,0.8111210495536042,0.5,0.6428571428571429
P014,Walking,0.613500530850833,0.7724563904515311,0.2894736842105263,0.47368421052631576
